algorithm,array_type,n,time_us,char_cmps
StrQuickSort,reverse,1000,375.38,8041
StrMergeSort,reverse,1000,3680.56,6130
MsdRadix,reverse,1000,793.90,0
MsdRadixQuick,reverse,1000,497.06,3664
StdQuickSort,almost,1000,383.22,12351
StdMergeSort,almost,1000,2774.62,10666
StrQuickSort,almost,1000,387.06,8201
StrMergeSort,almost,1000,3659.76,8627
MsdRadix,almost,1000,647.94,0
MsdRadixQuick,almost,1000,486.60,3725
StdQuickSort,prefix,1000,3118.04,155260
StdMergeSort,prefix,1000,4858.42,115670
StrQuickSort,prefix,1000,650.70,22573
StrMergeSort,prefix,1000,5851.34,21560
MsdRadix,prefix,1000,2591.82,0
MsdRadixQuick,prefix,1000,1830.64,2976
StdQuickSort,random,1100,679.92,17230
StdMergeSort,random,1100,3272.68,13118
StrQuickSort,random,1100,580.92,11646
StrMergeSort,random,1100,4187.96,10890
MsdRadix,random,1100,740.62,0
MsdRadixQuick,random,1100,526.14,3507
StdQuickSort,reverse,1100,528.16,14451
StdMergeSort,reverse,1100,3014.82,8754
StrQuickSort,reverse,1100,458.26,8980
StrMergeSort,reverse,1100,4018.94,6742
MsdRadix,reverse,1100,826.56,0
MsdRadixQuick,reverse,1100,583.40,4048
StdQuickSort,almost,1100,423.84,14025
StdMergeSort,almost,1100,3008.86,11887
StrQuickSort,almost,1100,437.58,9263
StrMergeSort,almost,1100,4106.66,9619
MsdRadix,almost,1100,717.66,0
MsdRadixQuick,almost,1100,543.62,4066
StdQuickSort,prefix,1100,3182.66,158051
StdMergeSort,prefix,1100,5417.22,129780
StrQuickSort,prefix,1100,687.26,24363
StrMergeSort,prefix,1100,9113.56,23935
MsdRadix,prefix,1100,2248.24,0
MsdRadixQuick,prefix,1100,2282.20,3323
StdQuickSort,random,1200,677.02,16745
StdMergeSort,random,1200,3576.08,14550
StrQuickSort,random,1200,578.08,11314
StrMergeSort,random,1200,4567.34,12051
MsdRadix,random,1200,795.86,0
MsdRadixQuick,random,1200,597.52,3927
StdQuickSort,reverse,1200,562.28,15729
StdMergeSort,reverse,1200,3340.14,9423
StrQuickSort,reverse,1200,477.78,10164
StrMergeSort,reverse,1200,4437.42,7358
MsdRadix,reverse,1200,904.90,0
MsdRadixQuick,reverse,1200,588.36,4401
StdQuickSort,almost,1200,456.90,15324
StdMergeSort,almost,1200,3372.68,13379
StrQuickSort,almost,1200,501.58,10431
StrMergeSort,almost,1200,4580.60,10664
MsdRadix,almost,1200,885.96,0
MsdRadixQuick,almost,1200,603.18,4443
StdQuickSort,prefix,1200,3767.12,181045
StdMergeSort,prefix,1200,7134.84,143697
StrQuickSort,prefix,1200,800.46,26497
StrMergeSort,prefix,1200,7447.32,26293
MsdRadix,prefix,1200,2460.14,0
MsdRadixQuick,prefix,1200,2321.92,3773
StdQuickSort,random,1300,881.70,21713
StdMergeSort,random,1300,3893.92,16068
StrQuickSort,random,1300,716.90,13562
StrMergeSort,random,1300,5316.64,13203
MsdRadix,random,1300,974.68,0
MsdRadixQuick,random,1300,675.18,4346
StdQuickSort,reverse,1300,619.92,17585
StdMergeSort,reverse,1300,3712.42,10343
StrQuickSort,reverse,1300,513.58,10823
StrMergeSort,reverse,1300,4856.72,8040
MsdRadix,reverse,1300,1031.74,0
MsdRadixQuick,reverse,1300,641.68,4756
StdQuickSort,almost,1300,486.50,16719
StdMergeSort,almost,1300,3646.80,14520
StrQuickSort,almost,1300,588.70,11406
StrMergeSort,almost,1300,5083.98,11715
MsdRadix,almost,1300,861.80,0
MsdRadixQuick,almost,1300,646.58,4864
StdQuickSort,prefix,1300,4501.38,224564
StdMergeSort,prefix,1300,7535.12,158319
StrQuickSort,prefix,1300,905.88,28305
StrMergeSort,prefix,1300,8106.38,28692
MsdRadix,prefix,1300,2686.08,0
MsdRadixQuick,prefix,1300,2331.16,4311
StdQuickSort,random,1400,920.24,21522
StdMergeSort,random,1400,4220.34,17576
StrQuickSort,random,1400,755.56,14212
StrMergeSort,random,1400,5455.44,14378
MsdRadix,random,1400,978.50,0
MsdRadixQuick,random,1400,703.46,4874
StdQuickSort,reverse,1400,686.90,18872
StdMergeSort,reverse,1400,4125.00,11155
StrQuickSort,reverse,1400,566.32,11906
StrMergeSort,reverse,1400,5349.08,8730
MsdRadix,reverse,1400,1173.24,0
MsdRadixQuick,reverse,1400,700.00,5133
StdQuickSort,almost,1400,527.14,18164
StdMergeSort,almost,1400,4077.90,15965
StrQuickSort,almost,1400,620.70,12186
StrMergeSort,almost,1400,5603.16,12824
MsdRadix,almost,1400,927.58,0
MsdRadixQuick,almost,1400,701.84,5239
StdQuickSort,prefix,1400,4698.34,212451
StdMergeSort,prefix,1400,7702.32,171642
StrQuickSort,prefix,1400,956.80,30724
StrMergeSort,prefix,1400,8656.62,30973
MsdRadix,prefix,1400,2809.44,0
MsdRadixQuick,prefix,1400,2858.96,4955
StdQuickSort,random,1500,1292.70,24610
StdMergeSort,random,1500,4663.88,19137
StrQuickSort,random,1500,794.98,14312
StrMergeSort,random,1500,6009.92,15580
MsdRadix,random,1500,1057.00,0
MsdRadixQuick,random,1500,759.88,5308
StdQuickSort,reverse,1500,794.26,20353
StdMergeSort,reverse,1500,4539.04,12136
StrQuickSort,reverse,1500,617.96,13004
StrMergeSort,reverse,1500,5804.62,9462
MsdRadix,reverse,1500,1143.26,0
MsdRadixQuick,reverse,1500,739.42,5495
StdQuickSort,almost,1500,615.66,19847
StdMergeSort,almost,1500,4402.58,17488
StrQuickSort,almost,1500,718.40,13336
StrMergeSort,almost,1500,5867.32,13998
MsdRadix,almost,1500,1088.66,0
MsdRadixQuick,almost,1500,825.12,5613
StdQuickSort,prefix,1500,5397.92,235603
StdMergeSort,prefix,1500,7838.78,186474
StrQuickSort,prefix,1500,1022.10,35290
StrMergeSort,prefix,1500,9275.30,33381
MsdRadix,prefix,1500,3009.90,0
MsdRadixQuick,prefix,1500,2740.62,5540
StdQuickSort,random,1600,1010.92,25368
StdMergeSort,random,1600,4969.04,20803
StrQuickSort,random,1600,898.70,17002
StrMergeSort,random,1600,6529.46,16814
MsdRadix,random,1600,1139.34,0
MsdRadixQuick,random,1600,856.12,5922
StdQuickSort,reverse,1600,824.04,21987
StdMergeSort,reverse,1600,4739.54,13001
StrQuickSort,reverse,1600,665.66,14008
StrMergeSort,reverse,1600,6368.38,10174
MsdRadix,reverse,1600,1323.76,0
MsdRadixQuick,reverse,1600,811.66,5873
StdQuickSort,almost,1600,732.70,21472
StdMergeSort,almost,1600,4679.78,18617
StrQuickSort,almost,1600,693.94,14541
StrMergeSort,almost,1600,6490.52,14997
MsdRadix,almost,1600,1198.24,0
MsdRadixQuick,almost,1600,812.26,5995
StdQuickSort,prefix,1600,5365.96,260726
StdMergeSort,prefix,1600,8293.68,200717
StrQuickSort,prefix,1600,1228.74,39392
StrMergeSort,prefix,1600,9938.10,35742
MsdRadix,prefix,1600,3309.84,0
MsdRadixQuick,prefix,1600,2959.06,5833
StdQuickSort,random,1700,1056.86,26199
StdMergeSort,random,1700,5495.44,22351
StrQuickSort,random,1700,897.42,17428
StrMergeSort,random,1700,7021.78,18022
MsdRadix,random,1700,1337.28,0
MsdRadixQuick,random,1700,906.62,6472
StdQuickSort,reverse,1700,827.42,23353
StdMergeSort,reverse,1700,5046.86,13876
StrQuickSort,reverse,1700,730.96,14963
StrMergeSort,reverse,1700,6685.26,10879
MsdRadix,reverse,1700,1331.74,0
MsdRadixQuick,reverse,1700,869.68,6223
StdQuickSort,almost,1700,666.90,22832
StdMergeSort,almost,1700,5103.86,19977
StrQuickSort,almost,1700,826.58,16336
StrMergeSort,almost,1700,8285.38,16135
MsdRadix,almost,1700,1201.26,0
MsdRadixQuick,almost,1700,857.02,6365
StdQuickSort,prefix,1700,5443.52,265901
StdMergeSort,prefix,1700,8817.26,215457
StrQuickSort,prefix,1700,1135.28,39193
StrMergeSort,prefix,1700,10893.96,38149
MsdRadix,prefix,1700,3596.96,0
MsdRadixQuick,prefix,1700,3183.58,6314
StdQuickSort,random,1800,1332.90,28747
StdMergeSort,random,1800,5883.98,23944
StrQuickSort,random,1800,924.02,17466
StrMergeSort,random,1800,7508.20,19216
MsdRadix,random,1800,1459.66,0
MsdRadixQuick,random,1800,985.54,6855
StdQuickSort,reverse,1800,916.60,24782
StdMergeSort,reverse,1800,5606.20,14955
StrQuickSort,reverse,1800,762.92,15878
StrMergeSort,reverse,1800,7311.98,11677
MsdRadix,reverse,1800,1481.56,0
MsdRadixQuick,reverse,1800,939.42,6609
StdQuickSort,almost,1800,705.26,24156
StdMergeSort,almost,1800,5786.88,20788
StrQuickSort,almost,1800,1056.44,16576
StrMergeSort,almost,1800,7173.84,16855
MsdRadix,almost,1800,1204.66,0
MsdRadixQuick,almost,1800,977.32,6758
StdQuickSort,prefix,1800,6098.70,302128
StdMergeSort,prefix,1800,9501.84,230157
StrQuickSort,prefix,1800,1251.78,42654
StrMergeSort,prefix,1800,11149.96,40532
MsdRadix,prefix,1800,3824.60,0
MsdRadixQuick,prefix,1800,3552.46,6837
StdQuickSort,random,1900,1482.02,30199
StdMergeSort,random,1900,6219.64,25616
StrQuickSort,random,1900,1129.22,20143
StrMergeSort,random,1900,8096.90,20480
MsdRadix,random,1900,1398.80,0
MsdRadixQuick,random,1900,1073.34,7251
StdQuickSort,reverse,1900,1000.22,26275
StdMergeSort,reverse,1900,6019.96,15842
StrQuickSort,reverse,1900,810.30,16970
StrMergeSort,reverse,1900,7751.28,12428
MsdRadix,reverse,1900,1604.20,0
MsdRadixQuick,reverse,1900,949.32,6972
StdQuickSort,almost,1900,819.98,26617
StdMergeSort,almost,1900,6576.72,22038
StrQuickSort,almost,1900,846.66,17380
StrMergeSort,almost,1900,7704.48,17891
MsdRadix,almost,1900,1261.46,0
MsdRadixQuick,almost,1900,992.70,7141
StdQuickSort,prefix,1900,6055.46,292990
StdMergeSort,prefix,1900,10030.42,244707
StrQuickSort,prefix,1900,1295.90,44382
StrMergeSort,prefix,1900,12043.28,42929
MsdRadix,prefix,1900,3944.88,0
MsdRadixQuick,prefix,1900,3573.20,7542
StdQuickSort,random,2000,1277.94,34116
StdMergeSort,random,2000,6550.80,27256
StrQuickSort,random,2000,1079.48,21202
StrMergeSort,random,2000,8242.72,21680
MsdRadix,random,2000,1583.16,0
MsdRadixQuick,random,2000,1086.56,7883
StdQuickSort,reverse,2000,1063.74,27804
StdMergeSort,reverse,2000,6115.02,17016
StrQuickSort,reverse,2000,991.40,17944
StrMergeSort,reverse,2000,7931.62,13267
MsdRadix,reverse,2000,1586.84,0
MsdRadixQuick,reverse,2000,1047.22,7346
StdQuickSort,almost,2000,836.60,28087
StdMergeSort,almost,2000,7083.92,23402
StrQuickSort,almost,2000,982.98,18455
StrMergeSort,almost,2000,8489.74,19087
MsdRadix,almost,2000,1381.54,0
MsdRadixQuick,almost,2000,1147.54,7545
StdQuickSort,prefix,2000,6914.38,340382
StdMergeSort,prefix,2000,11027.80,259402
StrQuickSort,prefix,2000,1325.00,44596
StrMergeSort,prefix,2000,13273.28,45316
MsdRadix,prefix,2000,5029.48,0
MsdRadixQuick,prefix,2000,4172.34,8026
StdQuickSort,random,2100,1308.40,34146
StdMergeSort,random,2100,6641.64,28921
StrQuickSort,random,2100,1164.46,22829
StrMergeSort,random,2100,8695.76,22937
MsdRadix,random,2100,1614.94,0
MsdRadixQuick,random,2100,1139.54,8667
StdQuickSort,reverse,2100,1058.76,29366
StdMergeSort,reverse,2100,6521.62,17864
StrQuickSort,reverse,2100,900.08,18984
StrMergeSort,reverse,2100,8479.30,13980
MsdRadix,reverse,2100,1657.46,0
MsdRadixQuick,reverse,2100,1081.86,7702
StdQuickSort,almost,2100,1073.78,29616
StdMergeSort,almost,2100,7257.88,24243
StrQuickSort,almost,2100,921.48,19279
StrMergeSort,almost,2100,9162.46,19732
MsdRadix,almost,2100,1425.78,0
MsdRadixQuick,almost,2100,1126.98,7926
StdQuickSort,prefix,2100,7354.86,364121
StdMergeSort,prefix,2100,11607.38,274666
StrQuickSort,prefix,2100,1367.30,47278
StrMergeSort,prefix,2100,13514.38,47782
MsdRadix,prefix,2100,4598.98,0
MsdRadixQuick,prefix,2100,3979.54,8528
StdQuickSort,random,2200,1376.42,34982
StdMergeSort,random,2200,7642.74,30631
StrQuickSort,random,2200,1310.76,23614
StrMergeSort,random,2200,13257.28,24208
MsdRadix,random,2200,1707.84,0
MsdRadixQuick,random,2200,1320.60,8940
StdQuickSort,reverse,2200,1107.70,30926
StdMergeSort,reverse,2200,6819.84,18625
StrQuickSort,reverse,2200,954.00,20139
StrMergeSort,reverse,2200,9344.46,14592
MsdRadix,reverse,2200,1764.02,0
MsdRadixQuick,reverse,2200,1128.52,8099
StdQuickSort,almost,2200,977.16,31560
StdMergeSort,almost,2200,7037.74,25911
StrQuickSort,almost,2200,1001.88,20443
StrMergeSort,almost,2200,9602.18,21119
MsdRadix,almost,2200,1513.42,0
MsdRadixQuick,almost,2200,1195.84,8328
StdQuickSort,prefix,2200,7689.84,357588
StdMergeSort,prefix,2200,12285.96,289950
StrQuickSort,prefix,2200,1604.88,52241
StrMergeSort,prefix,2200,14000.64,50238
MsdRadix,prefix,2200,4725.36,0
MsdRadixQuick,prefix,2200,4556.52,9071
StdQuickSort,random,2300,1700.34,40605
StdMergeSort,random,2300,7532.52,32330
